Marca temporal,"¿Estás estudiando en algún colegio, universidad o instituto?",Escribe tu edad exacta,Sexo,Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [No discrimino y trato a todos por igual],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta comprar marcas que representen mi status],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me preocupa mucho el medio ambiente],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Estudio mucho, doy mi mayor esfuerzo]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Busco el éxito sin importar lo que deba sacrificar],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Trato de vestir sencillo para no presumir],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Creo que la vida se trata de tomar riesgos],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Busco hacer cosas emocionantes para no aburrirme],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [En mi casa, la familia es muy importante, por eso paso mucho tiempo con ellos]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Tener dinero es clave para ser respetado],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me cuesta mucho lidiar con gente que opina estupideces],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [La tradición y religión ayudan a distinguir lo bueno de lo malo],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [El dinero va y viene, trato de no cuidarlo mucho, más bien lo disfruto]","Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Hay que respetar a los adultos, aunque algunos no sean muy respetuosos]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta comer sano y estar en forma],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Vestirse bien es clave para el éxito ],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Soy sincero con las personas, aunque la verdad les duela]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me preocupo y ayudo a los necesitados],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Invierto mucho tiempo y dinero para aprender cosas nuevas],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta conocer gente y hacer nuevos amigos],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Soy una persona casera, prefiero estar en casa haciendo lo mío]","Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Prefiero hacer las cosas solo, me estresa trabajar en grupo]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta tener muchos amigos y pasar tiempo con ellos],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me cuesta concentrarme porque me aburro rápido de las cosas],Cuando tenga 30 años me gustaría:,¿Cuánto tiempo has pasado en los últimos 7 días en TikTok? Si no lo las usado coloca 00:00,¿Cuánto tiempo has pasado en los últimos 7 días en Instagram? Si no lo las usado coloca 00:00,¿Cuánto tiempo has pasado en los últimos 7 días en Facebook? Si no lo las usado coloca 00:00,¿Cuánto tiempo has pasado en los últimos 7 días en YouTube? Si no lo las usado coloca 00:00
9/08/2021 12:23:46,Sí,16,Hombre,No lo sé,No lo sé,No lo sé,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente falso,No lo sé,Un poco verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:00:00,1:00:00,1:00:00,2:00:00
9/08/2021 12:25:01,Sí,16,Mujer,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco falso,Totalmente falso,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente falso,Totalmente verdadero,Un poco falso,Totalmente falso,Un poco falso,Un poco falso,Un poco verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,Totalmente falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:50:00,0:00:00,0:00:00,1:00:00
9/08/2021 12:26:31,Sí,17,Hombre,Totalmente verdadero,Totalmente falso,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,No lo sé,Un poco falso,Totalmente verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,No lo sé,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",8:00:00,4:00:00,0:00:00,8:00:00
9/08/2021 12:28:49,Sí,22,Mujer,Totalmente verdadero,Totalmente falso,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco falso,Un poco verdadero,Totalmente falso,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",22:35:00,11:21:00,1:57:00,2:40:00
9/08/2021 12:31:43,Sí,16,Hombre,Totalmente verdadero,Un poco verdadero,Un poco falso,Totalmente falso,Un poco falso,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco falso,Un poco falso,Totalmente verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",7:00:00,1:04:00,0:00:00,3:26:00
9/08/2021 12:34:23,Sí,18,Mujer,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente falso,Totalmente falso,Totalmente verdadero,Totalmente falso,Un poco verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Totalmente falso,Totalmente falso,Totalmente verdadero,Un poco falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",1:16:00,1:00:00,14:00:00,3:00:00
9/08/2021 12:35:46,Sí,14,Mujer,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",8:00:00,12:00:00,5:00:00,2:00:00
9/08/2021 12:38:32,Sí,20,Hombre,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Totalmente falso,Un poco verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",13:11:00,0:43:00,4:21:00,6:17:00
9/08/2021 12:40:30,Sí,22,Mujer,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,No lo sé,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco falso,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:51:00,0:55:00,0:27:00,0:35:00
9/08/2021 12:41:37,Sí,21,Mujer,Un poco falso,No lo sé,Un poco verdadero,No lo sé,No lo sé,Un poco falso,Un poco verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,Totalmente verdadero,Un poco falso,No lo sé,Totalmente verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",22:34:00,10:50:00,3:27:00,11:54:00
9/08/2021 12:42:19,Sí,15,Hombre,Totalmente verdadero,Totalmente falso,Un poco falso,No lo sé,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,No lo sé,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,No lo sé,Totalmente falso,Un poco verdadero,No lo sé,Totalmente falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",4:00:00,0:00:00,0:00:00,2:00:00
